route_id,route_short_name,route_long_name,route_desc,route_type
1-115,1,,,3
2-115,2,,,3
4-115,4,,,3
5-115,5,,,3
6-115,6,,,3
7-115,7,,,3
8-115,8,,,3
9-115,9,,,3
12-115,12,,,3
14-115,14,,,3
16-115,16,,,3
18-115,18,,,3
20-115,20,,,3
21-115,21,,,3
22-115,22,,,3
24-115,24,,,3
27-115,27,,,3
30-115,30,,,3
31-115,31,,,3
34-115,34,,,3
35-115,35,,,3
37-115,37,,,3
38-115,38,,,3
40-115,40,,,3
41-115,41,,,3
43-115,43,,,3
60-115,60,,,3
61-115,61,,,3
62-115,62,,,3
65-115,65,,,3
66-115,66,,,3
67-115,67,,,3
68-115,68,,,3
69-115,69,,,3
70-115,70,,,3
71-115,71,,,3
73-115,73,,,3
76-115,76,,,3
77-115,77,,,3
85-115,85,,,3
86-115,86,,,3
87-115,87,,,3
93-115,93,,,3
94-115,94,,,3
95-115,95,,,3
96-115,96,,,3
97-115,97,,,3
98-115,98,,,3
99-115,99,,,3
101-115,101,,,3
102-115,102,,,3
105-115,105,,,3
106-115,106,,,3
111-115,111,,,3
112-115,112,,,3
114-115,114,,,3
116-115,116,,,3
118-115,118,,,3
120-115,120,,,3
121-115,121,,,3
122-115,122,,,3
123-115,123,,,3
124-115,124,,,3
126-115,126,,,3
127-115,127,,,3
128-115,128,,,3
129-115,129,,,3
130-115,130,,,3
131-115,131,,,3
132-115,132,,,3
134-115,134,,,3
135-115,135,,,3
136-115,136,,,3
137-115,137,,,3
140-115,140,,,3
143-115,143,,,3
144-115,144,,,3
146-115,146,,,3
147-115,147,,,3
148-115,148,,,3
149-115,149,,,3
150-115,150,,,3
151-115,151,,,3
152-115,152,,,3
156-115,156,,,3
157-115,157,,,3
159-115,159,,,3
161-115,161,,,3
163-115,163,,,3
164-115,164,,,3
168-115,168,,,3
169-115,169,,,3
170-115,170,,,3
171-115,171,,,3
172-115,172,,,3
173-115,173,,,3
174-115,174,,,3
175-115,175,,,3
176-115,176,,,3
177-115,177,,,3
178-115,178,,,3
180-115,180,,,3
182-115,182,,,3
183-115,183,,,3
186-115,186,,,3
189-115,189,,,3
192-115,192,,,3
193-115,193,,,3
194-115,194,,,3
198-115,198,,,3
199-115,199,,,3
221-115,221,,,3
231-115,231,,,3
232-115,232,,,3
245-115,245,,,3
261-115,261,,,3
262-115,262,,,3
263-115,263,,,3
283-115,283,,,3
540-115,HPTL,,,3
601-115,601,,,3
602-115,602,,,3
611-115,611,,,3
612-115,612,,,3
613-115,613,,,3
618-115,618,,,3
619-115,619,,,3
622-115,622,,,3
632-115,632,,,3
633-115,633,,,3
640-115,640,,,3
641-115,641,,,3
648-115,648,,,3
661-115,661,,,3
665-115,665,,,3
669-115,669,,,3
670-115,670,,,3
674-115,674,,,3
678-115,678,,,3
681-115,681,,,3
691-115,691,,,3
750-115,OTrn,,,2
