route_id,service_id,trip_id,trip_headsign,block_id
186-115,SEPT11-S11-Fri-Friday-01,19119701-SEPT11-S11-Fri-Friday-01,"Barrhaven Centre",2429102
186-115,SEPT11-S11-Fri-Friday-01,19119702-SEPT11-S11-Fri-Friday-01,"Manotick",2429101
1-115,SEPT11-SEPDA11-Weekday-89,19288201-SEPT11-SEPDA11-Weekday-89,"South Keys",2453870
1-115,SEPT11-SEPDA11-Weekday-89,19288202-SEPT11-SEPDA11-Weekday-89,"South Keys",2453871
1-115,SEPT11-SEPDA11-Weekday-89,19288203-SEPT11-SEPDA11-Weekday-89,"South Keys",2453872
1-115,SEPT11-SEPDA11-Weekday-89,19288204-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453873
1-115,SEPT11-SEPDA11-Weekday-89,19288205-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453871
1-115,SEPT11-SEPDA11-Weekday-89,19288206-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453871
1-115,SEPT11-SEPDA11-Weekday-89,19288207-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453874
7-115,SEPT11-SEPDA11-Weekday-89,19288208-SEPT11-SEPDA11-Weekday-89,"St. Laurent",2453875
1-115,SEPT11-SEPDA11-Weekday-89,19288209-SEPT11-SEPDA11-Weekday-89,"South Keys",2453876
1-115,SEPT11-SEPDA11-Weekday-89,19288210-SEPT11-SEPDA11-Weekday-89,"South Keys",2453877
1-115,SEPT11-SEPDA11-Weekday-89,19288211-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453812
1-115,SEPT11-SEPDA11-Weekday-89,19288212-SEPT11-SEPDA11-Weekday-89,"South Keys",2453874
1-115,SEPT11-SEPDA11-Weekday-89,19288213-SEPT11-SEPDA11-Weekday-89,"South Keys",2454981
1-115,SEPT11-SEPDA11-Weekday-89,19288214-SEPT11-SEPDA11-Weekday-89,"South Keys",2453879
1-115,SEPT11-SEPDA11-Weekday-89,19288215-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453874
1-115,SEPT11-SEPDA11-Weekday-89,19288216-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2454981
1-115,SEPT11-SEPDA11-Weekday-89,19288217-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2454981
1-115,SEPT11-SEPDA11-Weekday-89,19288218-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453880
1-115,SEPT11-SEPDA11-Weekday-89,19288219-SEPT11-SEPDA11-Weekday-89,"South Keys",2454474
1-115,SEPT11-SEPDA11-Weekday-89,19288220-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453870
1-115,SEPT11-SEPDA11-Weekday-89,19288221-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453876
1-115,SEPT11-SEPDA11-Weekday-89,19288222-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2454098
7-115,SEPT11-SEPDA11-Weekday-89,19288223-SEPT11-SEPDA11-Weekday-89,"Carleton",2453882
7-115,SEPT11-SEPDA11-Weekday-89,19288224-SEPT11-SEPDA11-Weekday-89,"Carleton",2454227
7-115,SEPT11-SEPDA11-Weekday-89,19288225-SEPT11-SEPDA11-Weekday-89,"Carleton",2454085
7-115,SEPT11-SEPDA11-Weekday-89,19288226-SEPT11-SEPDA11-Weekday-89,"St. Laurent",2454085
1-115,SEPT11-SEPDA11-Weekday-89,19288227-SEPT11-SEPDA11-Weekday-89,"South Keys",2453880
1-115,SEPT11-SEPDA11-Weekday-89,19288228-SEPT11-SEPDA11-Weekday-89,"South Keys",2453874
1-115,SEPT11-SEPDA11-Weekday-89,19288229-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453880
1-115,SEPT11-SEPDA11-Weekday-89,19288230-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2453874
1-115,SEPT11-SEPDA11-Weekday-89,19288231-SEPT11-SEPDA11-Weekday-89,"South Keys",2453871
1-115,SEPT11-SEPDA11-Weekday-89,19288232-SEPT11-SEPDA11-Weekday-89,"South Keys",2455007
1-115,SEPT11-SEPDA11-Weekday-89,19288233-SEPT11-SEPDA11-Weekday-89,"South Keys",2455007
1-115,SEPT11-SEPDA11-Weekday-89,19288234-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2455007
1-115,SEPT11-SEPDA11-Weekday-89,19288235-SEPT11-SEPDA11-Weekday-89,"Ottawa-Rockcliffe",2455007
1-115,SEPT11-SEPDA11-Weekday-89,19288236-SEPT11-SEPDA11-Weekday-89,"South Keys",2453879
105-115,SEPT11-SEPDA11-Weekday-89,19288237-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453893
105-115,SEPT11-SEPDA11-Weekday-89,19288238-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453708
105-115,SEPT11-SEPDA11-Weekday-89,19288239-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453710
105-115,SEPT11-SEPDA11-Weekday-89,19288240-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453899
105-115,SEPT11-SEPDA11-Weekday-89,19288241-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453900
105-115,SEPT11-SEPDA11-Weekday-89,19288242-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453901
105-115,SEPT11-SEPDA11-Weekday-89,19288243-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453759
105-115,SEPT11-SEPDA11-Weekday-89,19288244-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453902
105-115,SEPT11-SEPDA11-Weekday-89,19288245-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453902
105-115,SEPT11-SEPDA11-Weekday-89,19288246-SEPT11-SEPDA11-Weekday-89,"Gatineau",2454094
105-115,SEPT11-SEPDA11-Weekday-89,19288247-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453908
105-115,SEPT11-SEPDA11-Weekday-89,19288248-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453908
105-115,SEPT11-SEPDA11-Weekday-89,19288249-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453814
105-115,SEPT11-SEPDA11-Weekday-89,19288250-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453814
105-115,SEPT11-SEPDA11-Weekday-89,19288251-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453841
105-115,SEPT11-SEPDA11-Weekday-89,19288252-SEPT11-SEPDA11-Weekday-89,"Gatineau",2453841
105-115,SEPT11-SEPDA11-Weekday-89,19288253-SEPT11-SEPDA11-Weekday-89,"Gatineau",2455012
105-115,SEPT11-SEPDA11-Weekday-89,19288254-SEPT11-SEPDA11-Weekday-89,"Gatineau",2455034
111-115,SEPT11-SEPDA11-Weekday-89,19288255-SEPT11-SEPDA11-Weekday-89,"Carleton",2453909
118-115,SEPT11-SEPDA11-Weekday-89,19288256-SEPT11-SEPDA11-Weekday-89,"Kanata",2454932
111-115,SEPT11-SEPDA11-Weekday-89,19288257-SEPT11-SEPDA11-Weekday-89,"Carleton",2454989
111-115,SEPT11-SEPDA11-Weekday-89,19288258-SEPT11-SEPDA11-Weekday-89,"Carleton",2453912
111-115,SEPT11-SEPDA11-Weekday-89,19288259-SEPT11-SEPDA11-Weekday-89,"Carleton",2453915
192-115,SEPT11-SEPDA11-Weekday-89,19288260-SEPT11-SEPDA11-Weekday-89,"Hawthorne",2453770
111-115,SEPT11-SEPDA11-Weekday-89,19288261-SEPT11-SEPDA11-Weekday-89,"Carleton",2453834
116-115,SEPT11-SEPDA11-Weekday-89,19288262-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453916
116-115,SEPT11-SEPDA11-Weekday-89,19288263-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454999
98-115,SEPT11-SEPDA11-Weekday-89,19288264-SEPT11-SEPDA11-Weekday-89,"Hawthorne",2453918
98-115,SEPT11-SEPDA11-Weekday-89,19288265-SEPT11-SEPDA11-Weekday-89,"Tunney's Pasture",2453920
116-115,SEPT11-SEPDA11-Weekday-89,19288266-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453921
116-115,SEPT11-SEPDA11-Weekday-89,19288267-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454999
116-115,SEPT11-SEPDA11-Weekday-89,19288268-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288269-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454985
116-115,SEPT11-SEPDA11-Weekday-89,19288270-SEPT11-SEPDA11-Weekday-89,"Merivale",2453922
116-115,SEPT11-SEPDA11-Weekday-89,19288271-SEPT11-SEPDA11-Weekday-89,"Merivale",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288272-SEPT11-SEPDA11-Weekday-89,"Merivale",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288273-SEPT11-SEPDA11-Weekday-89,"Merivale",2453923
116-115,SEPT11-SEPDA11-Weekday-89,19288274-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288275-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288276-SEPT11-SEPDA11-Weekday-89,"Merivale",2453791
116-115,SEPT11-SEPDA11-Weekday-89,19288277-SEPT11-SEPDA11-Weekday-89,"Merivale",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288278-SEPT11-SEPDA11-Weekday-89,"Merivale",2454985
140-115,SEPT11-SEPDA11-Weekday-89,19288279-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453924
116-115,SEPT11-SEPDA11-Weekday-89,19288280-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453941
146-115,SEPT11-SEPDA11-Weekday-89,19288281-SEPT11-SEPDA11-Weekday-89,"South Keys",2453942
43-115,SEPT11-SEPDA11-Weekday-89,19288282-SEPT11-SEPDA11-Weekday-89,"Downtown / centre-ville",2453943
116-115,SEPT11-SEPDA11-Weekday-89,19288283-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454999
116-115,SEPT11-SEPDA11-Weekday-89,19288284-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288285-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288286-SEPT11-SEPDA11-Weekday-89,"Merivale",2454999
116-115,SEPT11-SEPDA11-Weekday-89,19288287-SEPT11-SEPDA11-Weekday-89,"Merivale",2453792
116-115,SEPT11-SEPDA11-Weekday-89,19288288-SEPT11-SEPDA11-Weekday-89,"Merivale",2454985
118-115,SEPT11-SEPDA11-Weekday-89,19288289-SEPT11-SEPDA11-Weekday-89,"Kanata",2453949
146-115,SEPT11-SEPDA11-Weekday-89,19288290-SEPT11-SEPDA11-Weekday-89,"South Keys",2453950
146-115,SEPT11-SEPDA11-Weekday-89,19288291-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453950
116-115,SEPT11-SEPDA11-Weekday-89,19288292-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453951
116-115,SEPT11-SEPDA11-Weekday-89,19288293-SEPT11-SEPDA11-Weekday-89,"Merivale",2454999
116-115,SEPT11-SEPDA11-Weekday-89,19288294-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453952
116-115,SEPT11-SEPDA11-Weekday-89,19288295-SEPT11-SEPDA11-Weekday-89,"Merivale",2453916
146-115,SEPT11-SEPDA11-Weekday-89,19288296-SEPT11-SEPDA11-Weekday-89,"South Keys",2453953
116-115,SEPT11-SEPDA11-Weekday-89,19288297-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453954
116-115,SEPT11-SEPDA11-Weekday-89,19288298-SEPT11-SEPDA11-Weekday-89,"Merivale",2453955
116-115,SEPT11-SEPDA11-Weekday-89,19288299-SEPT11-SEPDA11-Weekday-89,"Merivale",2454999
140-115,SEPT11-SEPDA11-Weekday-89,19288300-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453956
116-115,SEPT11-SEPDA11-Weekday-89,19288301-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454985
6-115,SEPT11-SEPDA11-Weekday-89,19288302-SEPT11-SEPDA11-Weekday-89,"Rideau Centre / Centre Rideau",2454096
118-115,SEPT11-SEPDA11-Weekday-89,19288303-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453958
118-115,SEPT11-SEPDA11-Weekday-89,19288304-SEPT11-SEPDA11-Weekday-89,"Kanata",2454488
118-115,SEPT11-SEPDA11-Weekday-89,19288305-SEPT11-SEPDA11-Weekday-89,"Kanata",2453958
118-115,SEPT11-SEPDA11-Weekday-89,19288306-SEPT11-SEPDA11-Weekday-89,"Kanata",2453960
118-115,SEPT11-SEPDA11-Weekday-89,19288307-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454488
118-115,SEPT11-SEPDA11-Weekday-89,19288308-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453961
118-115,SEPT11-SEPDA11-Weekday-89,19288309-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453962
118-115,SEPT11-SEPDA11-Weekday-89,19288310-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453963
118-115,SEPT11-SEPDA11-Weekday-89,19288311-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453964
118-115,SEPT11-SEPDA11-Weekday-89,19288312-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454065
118-115,SEPT11-SEPDA11-Weekday-89,19288313-SEPT11-SEPDA11-Weekday-89,"Kanata",2453966
118-115,SEPT11-SEPDA11-Weekday-89,19288314-SEPT11-SEPDA11-Weekday-89,"Kanata",2454488
118-115,SEPT11-SEPDA11-Weekday-89,19288315-SEPT11-SEPDA11-Weekday-89,"Kanata",2453967
118-115,SEPT11-SEPDA11-Weekday-89,19288316-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453958
118-115,SEPT11-SEPDA11-Weekday-89,19288317-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453958
118-115,SEPT11-SEPDA11-Weekday-89,19288318-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453922
118-115,SEPT11-SEPDA11-Weekday-89,19288319-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453962
118-115,SEPT11-SEPDA11-Weekday-89,19288320-SEPT11-SEPDA11-Weekday-89,"Kanata",2453969
118-115,SEPT11-SEPDA11-Weekday-89,19288321-SEPT11-SEPDA11-Weekday-89,"Kanata",2453958
118-115,SEPT11-SEPDA11-Weekday-89,19288322-SEPT11-SEPDA11-Weekday-89,"Kanata",2453962
118-115,SEPT11-SEPDA11-Weekday-89,19288323-SEPT11-SEPDA11-Weekday-89,"Kanata",2453970
118-115,SEPT11-SEPDA11-Weekday-89,19288324-SEPT11-SEPDA11-Weekday-89,"Kanata",2453969
118-115,SEPT11-SEPDA11-Weekday-89,19288325-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453825
118-115,SEPT11-SEPDA11-Weekday-89,19288326-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453971
118-115,SEPT11-SEPDA11-Weekday-89,19288327-SEPT11-SEPDA11-Weekday-89,"Kanata",2453825
118-115,SEPT11-SEPDA11-Weekday-89,19288328-SEPT11-SEPDA11-Weekday-89,"Kanata",2454204
118-115,SEPT11-SEPDA11-Weekday-89,19288329-SEPT11-SEPDA11-Weekday-89,"Kanata",2454799
118-115,SEPT11-SEPDA11-Weekday-89,19288330-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453972
118-115,SEPT11-SEPDA11-Weekday-89,19288331-SEPT11-SEPDA11-Weekday-89,"Kanata",2453972
118-115,SEPT11-SEPDA11-Weekday-89,19288332-SEPT11-SEPDA11-Weekday-89,"Kanata",2453974
118-115,SEPT11-SEPDA11-Weekday-89,19288333-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453975
118-115,SEPT11-SEPDA11-Weekday-89,19288334-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453976
156-115,SEPT11-SEPDA11-Weekday-89,19288335-SEPT11-SEPDA11-Weekday-89,"Merivale",2453954
118-115,SEPT11-SEPDA11-Weekday-89,19288336-SEPT11-SEPDA11-Weekday-89,"Kanata",2454767
118-115,SEPT11-SEPDA11-Weekday-89,19288337-SEPT11-SEPDA11-Weekday-89,"Kanata",2454859
118-115,SEPT11-SEPDA11-Weekday-89,19288338-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453979
118-115,SEPT11-SEPDA11-Weekday-89,19288339-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453980
118-115,SEPT11-SEPDA11-Weekday-89,19288340-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454202
118-115,SEPT11-SEPDA11-Weekday-89,19288341-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454256
118-115,SEPT11-SEPDA11-Weekday-89,19288342-SEPT11-SEPDA11-Weekday-89,"Kanata",2453961
118-115,SEPT11-SEPDA11-Weekday-89,19288343-SEPT11-SEPDA11-Weekday-89,"Kanata",2454502
116-115,SEPT11-SEPDA11-Weekday-89,19288344-SEPT11-SEPDA11-Weekday-89,"Greenboro",2454985
118-115,SEPT11-SEPDA11-Weekday-89,19288345-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454496
118-115,SEPT11-SEPDA11-Weekday-89,19288346-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454618
118-115,SEPT11-SEPDA11-Weekday-89,19288347-SEPT11-SEPDA11-Weekday-89,"Kanata",2454496
118-115,SEPT11-SEPDA11-Weekday-89,19288348-SEPT11-SEPDA11-Weekday-89,"Kanata",2454256
116-115,SEPT11-SEPDA11-Weekday-89,19288349-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453702
118-115,SEPT11-SEPDA11-Weekday-89,19288350-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454932
118-115,SEPT11-SEPDA11-Weekday-89,19288351-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454932
118-115,SEPT11-SEPDA11-Weekday-89,19288352-SEPT11-SEPDA11-Weekday-89,"Kanata",2454932
114-115,SEPT11-SEPDA11-Weekday-89,19288353-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453879
114-115,SEPT11-SEPDA11-Weekday-89,19288354-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453738
118-115,SEPT11-SEPDA11-Weekday-89,19288355-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454618
118-115,SEPT11-SEPDA11-Weekday-89,19288356-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454812
118-115,SEPT11-SEPDA11-Weekday-89,19288357-SEPT11-SEPDA11-Weekday-89,"Hurdman",2454812
118-115,SEPT11-SEPDA11-Weekday-89,19288358-SEPT11-SEPDA11-Weekday-89,"Kanata",2454618
118-115,SEPT11-SEPDA11-Weekday-89,19288359-SEPT11-SEPDA11-Weekday-89,"Kanata",2454812
118-115,SEPT11-SEPDA11-Weekday-89,19288360-SEPT11-SEPDA11-Weekday-89,"Kanata",2454812
116-115,SEPT11-SEPDA11-Weekday-89,19288361-SEPT11-SEPDA11-Weekday-89,"Greenboro",2453955
123-115,SEPT11-SEPDA11-Weekday-89,19288362-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288363-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288364-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288365-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
123-115,SEPT11-SEPDA11-Weekday-89,19288366-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288367-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288368-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288369-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453984
123-115,SEPT11-SEPDA11-Weekday-89,19288370-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
123-115,SEPT11-SEPDA11-Weekday-89,19288371-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
123-115,SEPT11-SEPDA11-Weekday-89,19288372-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
123-115,SEPT11-SEPDA11-Weekday-89,19288373-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
123-115,SEPT11-SEPDA11-Weekday-89,19288374-SEPT11-SEPDA11-Weekday-89,"Beacon Hill & Blair",2453985
124-115,SEPT11-SEPDA11-Weekday-89,19288375-SEPT11-SEPDA11-Weekday-89,"Beacon Hill",2453986
124-115,SEPT11-SEPDA11-Weekday-89,19288376-SEPT11-SEPDA11-Weekday-89,"Beacon Hill",2453924
124-115,SEPT11-SEPDA11-Weekday-89,19288377-SEPT11-SEPDA11-Weekday-89,"Beacon Hill",2453987
124-115,SEPT11-SEPDA11-Weekday-89,19288378-SEPT11-SEPDA11-Weekday-89,"Beacon Hill",2453921
124-115,SEPT11-SEPDA11-Weekday-89,19288379-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453986
124-115,SEPT11-SEPDA11-Weekday-89,19288380-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453924
124-115,SEPT11-SEPDA11-Weekday-89,19288381-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453987
124-115,SEPT11-SEPDA11-Weekday-89,19288382-SEPT11-SEPDA11-Weekday-89,"Hurdman",2453921
126-115,SEPT11-SEPDA11-Weekday-89,19288383-SEPT11-SEPDA11-Weekday-89,"Pineview",2453988
